parameter name,whether model,size
data,1,19267584
p0,1,12
null,0,19267584
p1,1,37632
p2,1,256
null,0,102760448
p3,1,256
null,0,25690112
p4,1,147456
p5,1,256
null,0,25690112
p6,1,147456
p7,1,16384
null,0,25690112
null,0,25690112
p8,1,256
null,0,25690112
p9,1,147456
p10,1,256
null,0,25690112
p11,1,147456
p12,1,256
null,0,25690112
p13,1,294912
p14,1,512
null,0,12845056
p15,1,589824
p16,1,32768
null,0,12845056
null,0,12845056
p17,1,512
null,0,12845056
p18,1,589824
p19,1,512
null,0,12845056
p20,1,589824
p21,1,512
null,0,12845056
p22,1,1179648
p23,1,1024
null,0,6422528
p24,1,2359296
p25,1,131072
null,0,6422528
null,0,6422528
p26,1,1024
null,0,6422528
p27,1,2359296
p28,1,1024
null,0,6422528
p29,1,2359296
p30,1,1024
null,0,6422528
p31,1,4718592
p32,1,2048
null,0,3211264
p33,1,9437184
p34,1,524288
null,0,3211264
null,0,3211264
p35,1,2048
null,0,3211264
p36,1,9437184
p37,1,2048
null,0,3211264
p38,1,9437184
p39,1,2048
p40,1,2048
null,0,3211264
null,0,65536
null,0,65536
p41,1,2048000
p42,1,4000
null,0,128000
output,1,128000
