Name,Start Time(ns),Duration(ns),Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",403652105,52511,602112,11466397516
"Memcpy HtoD [sync]",403716584,1472,12,8152173
"Memcpy HtoD [sync]",403874406,51648,602112,11657992565
"Memcpy HtoD [sync]",403952165,5568,37632,6758620689
"Memcpy HtoD [sync]",403966853,1440,256,177777777
"Memcpy HtoD [sync]",404690303,565626,3211264,5677362780
"Memcpy HtoD [sync]",405267737,1472,256,173913043
"Memcpy HtoD [sync]",405509527,67903,802816,11822982784
"Memcpy HtoD [sync]",405861236,51071,589824,11549098314
"Memcpy HtoD [sync]",405923283,1472,256,173913043
"Memcpy HtoD [sync]",406148497,67807,802816,11839721562
"Memcpy HtoD [sync]",406357903,50879,589824,11592680673
"Memcpy HtoD [sync]",406425518,3264,16384,5019607843
"Memcpy HtoD [sync]",406808490,68384,802816,11739822180
"Memcpy HtoD [sync]",407060488,67904,802816,11822808671
"Memcpy HtoD [sync]",407139368,1440,256,177777777
"Memcpy HtoD [sync]",407502628,68127,802816,11784109090
"Memcpy HtoD [sync]",407714338,50591,589824,11658674467
"Memcpy HtoD [sync]",407776385,1440,256,177777777
"Memcpy HtoD [sync]",408157918,68063,802816,11795189750
"Memcpy HtoD [sync]",408369372,50879,589824,11592680673
"Memcpy HtoD [sync]",408430843,1440,256,177777777
"Memcpy HtoD [sync]",408647001,67903,802816,11822982784
"Memcpy HtoD [sync]",408791671,26944,294912,10945368171
"Memcpy HtoD [sync]",408829111,1504,512,340425531
"Memcpy HtoD [sync]",408957430,35584,401408,11280575539
"Memcpy HtoD [sync]",409447378,87711,1048576,11954897333
"Memcpy HtoD [sync]",409560561,5055,32768,6482294757
"Memcpy HtoD [sync]",409679983,35648,401408,11260323159
"Memcpy HtoD [sync]",409811406,35456,401408,11321299638
"Memcpy HtoD [sync]",409856493,1504,512,340425531
"Memcpy HtoD [sync]",410125067,35199,401408,11403960339
"Memcpy HtoD [sync]",410417832,87776,1048576,11946044476
"Memcpy HtoD [sync]",410516807,1472,512,347826086
"Memcpy HtoD [sync]",410635494,35584,401408,11280575539
"Memcpy HtoD [sync]",411078434,87775,1048576,11946180575
"Memcpy HtoD [sync]",411177505,1472,512,347826086
"Memcpy HtoD [sync]",411298592,35551,401408,11291046665
"Memcpy HtoD [sync]",411749948,101983,1179648,11567104321
"Memcpy HtoD [sync]",411863355,1536,1024,666666666
"Memcpy HtoD [sync]",411942618,19584,200704,10248366013
"Memcpy HtoD [sync]",414750239,804217,4194304,5215388383
"Memcpy HtoD [sync]",415596151,13728,131072,9547785547
"Memcpy HtoD [sync]",415666006,19520,200704,10281967213
"Memcpy HtoD [sync]",415738166,19423,200704,10333316171
"Memcpy HtoD [sync]",415767829,1536,1024,666666666
"Memcpy HtoD [sync]",415825493,19712,200704,10181818181
"Memcpy HtoD [sync]",416463407,793048,4194304,5288840019
"Memcpy HtoD [sync]",417268807,1504,1024,680851063
"Memcpy HtoD [sync]",417336615,19359,200704,10367477658
"Memcpy HtoD [sync]",417952641,797240,4194304,5261030555
"Memcpy HtoD [sync]",418762201,1536,1024,666666666
"Memcpy HtoD [sync]",418829881,19359,200704,10367477658
"Memcpy HtoD [sync]",419784527,876280,4718592,5384799379
"Memcpy HtoD [sync]",420673351,1632,2048,1254901960
"Memcpy HtoD [sync]",420714054,11328,100352,8858757062
"Memcpy HtoD [sync]",429068183,3771549,16777216,4448362198
"Memcpy HtoD [sync]",432969426,45248,524288,11586987270
"Memcpy HtoD [sync]",433048178,11232,100352,8934472934
"Memcpy HtoD [sync]",433090705,10944,100352,9169590643
"Memcpy HtoD [sync]",433112689,1664,2048,1230769230
"Memcpy HtoD [sync]",433317615,10912,100352,9196480938
"Memcpy HtoD [sync]",435348316,3694269,16777216,4541416989
"Memcpy HtoD [sync]",439055481,1632,2048,1254901960
"Memcpy HtoD [sync]",439097272,11392,100352,8808988764
"Memcpy HtoD [sync]",440796360,3684797,16777216,4553090984
"Memcpy HtoD [sync]",444493701,1664,2048,1230769230
"Memcpy HtoD [sync]",444504901,1664,2048,1230769230
"Memcpy HtoD [sync]",444545157,11615,100352,8639862247
"Memcpy HtoD [sync]",444566788,1632,2048,1254901960
"Memcpy HtoD [sync]",444577476,1632,2048,1254901960
"Memcpy HtoD [sync]",445318013,320317,2048000,6393666274
"Memcpy HtoD [sync]",445650714,1856,4000,2155172413
"Memcpy HtoD [sync]",445664762,1856,4000,2155172413
"Memcpy HtoD [sync]",445677626,1888,4000,2118644067
"Memcpy HtoD [sync]",446182005,234781,1806336,7693706049
"Memcpy HtoD [sync]",446841935,232126,1806336,7781704763
"Memcpy HtoD [sync]",576220515,1440,12,8333333
"Memcpy HtoD [sync]",576248899,5568,37632,6758620689
"Memcpy HtoD [sync]",576262883,1664,256,153846153
"Memcpy HtoD [sync]",576272995,1472,256,173913043
"Memcpy HtoD [sync]",576432033,50719,589824,11629251365
"Memcpy HtoD [sync]",576492992,1472,256,173913043
"Memcpy HtoD [sync]",576635743,50783,589824,11614595435
"Memcpy HtoD [sync]",576702558,3232,16384,5069306930
"Memcpy HtoD [sync]",576713982,1440,256,177777777
"Memcpy HtoD [sync]",576865501,50815,589824,11607281314
"Memcpy HtoD [sync]",576926844,1440,256,177777777
"Memcpy HtoD [sync]",577079835,50784,589824,11614366729
"Memcpy HtoD [sync]",577140667,1471,256,174031271
"Memcpy HtoD [sync]",577224314,27072,294912,10893617021
"Memcpy HtoD [sync]",577261305,1632,512,313725490
"Memcpy HtoD [sync]",577532343,87487,1048576,11985506418
"Memcpy HtoD [sync]",577645173,5056,32768,6481012658
"Memcpy HtoD [sync]",577658837,1472,512,347826086
"Memcpy HtoD [sync]",577919219,87551,1048576,11976744982
"Memcpy HtoD [sync]",578017970,1568,512,326530612
"Memcpy HtoD [sync]",578262512,87583,1048576,11972369067
"Memcpy HtoD [sync]",578360495,1472,512,347826086
"Memcpy HtoD [sync]",578621580,101855,1179648,11581640567
"Memcpy HtoD [sync]",578734347,1536,1024,666666666
"Memcpy HtoD [sync]",578994761,848472,4194304,4943361713
"Memcpy HtoD [sync]",579888608,13504,131072,9706161137
"Memcpy HtoD [sync]",579912992,1536,1024,666666666
"Memcpy HtoD [sync]",580171325,847385,4194304,4949702909
"Memcpy HtoD [sync]",581030581,1536,1024,666666666
"Memcpy HtoD [sync]",581292819,854680,4194304,4907455421
"Memcpy HtoD [sync]",582159883,1536,1024,666666666
"Memcpy HtoD [sync]",582422088,939703,4718592,5021365261
"Memcpy HtoD [sync]",583373887,1664,2048,1230769230
"Memcpy HtoD [sync]",583635933,3885563,16777216,4317833992
"Memcpy HtoD [sync]",587657495,45343,524288,11562710892
"Memcpy HtoD [sync]",587714454,1664,2048,1230769230
"Memcpy HtoD [sync]",587974484,3871515,16777216,4333501484
"Memcpy HtoD [sync]",591858382,1632,2048,1254901960
"Memcpy HtoD [sync]",592117676,3863996,16777216,4341934101
"Memcpy HtoD [sync]",595994888,1664,2048,1230769230
"Memcpy HtoD [sync]",596005096,1632,2048,1254901960
"Memcpy HtoD [sync]",596264741,323517,2048000,6330424676
"Memcpy HtoD [sync]",596600417,1856,4000,2155172413
"Memcpy HtoD [sync]",597812758,51776,602112,11629171817
